Frames,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
44,,,"[286, 234]",,,,,,,,,,,,,,,,,,,,,,
45,,,"[297, 233]",,,,,,,,,,,,,,,,,,,,,,
46,,,"[307, 222]",,,,,,,,,,,,,,,,,,,,,,
47,,,"[314, 222]",,,,,,,,,,,,,,,,,,,,,,
48,,,"[320, 218]",,,,,,,,,,,,,,,,,,,,,,
49,,,"[337, 205]",,,,,,,,,,,,,,,,,,,,,,
50,,,"[338, 203]",,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,"[186, 262]",,,,,,,,,,,,,,,,,,,,,
84,,,,"[186, 262]",,,,,,,,,,,,,,,,,,,,,
85,,,,"[198, 255]",,,,,,,,,,,,,,,,,,,,,
86,,,,"[198, 255]",,,,,,,,,,,,,,,,,,,,,
87,,,,"[219, 243]",,,,,,,,,,,,,,,,,,,,,
88,,,,"[220, 243]",,,,,,,,,,,,,,,,,,,,,
89,,,,"[246, 229]",,,,,,,,,,,,,,,,,,,,,
90,,,,"[246, 229]",,,,,,,,,,,,,,,,,,,,,
91,,,,"[269, 216]","[199, 325]",,,,,,,,,,,,,,,,,,,,
92,,,,"[270, 216]","[199, 326]",,,,,,,,,,,,,,,,,,,,
93,,,,"[295, 205]","[211, 319]",,,,,,,,,,,,,,,,,,,,
94,,,,"[295, 205]","[211, 319]",,,,,,,,,,,,,,,,,,,,
95,,,,"[316, 194]","[237, 299]",,,,,,,,,,,,,,,,,,,,
96,,,,"[316, 194]","[237, 299]",,,,,,,,,,,,,,,,,,,,
97,,,,"[293, 247]","[293, 247]",,,,,,,,,,,,,,,,,,,,
98,,,,"[288, 253]","[288, 253]",,,,,,,,,,,,,,,,,,,,
99,,,,"[316, 240]","[316, 240]",,,,,,,,,,,,,,,,,,,,
100,,,,"[316, 239]","[316, 239]",,,,,,,,,,,,,,,,,,,,
101,,,,"[340, 224]","[340, 224]",,,,,,,,,,,,,,,,,,,,
102,,,,"[340, 224]","[340, 224]",,,,,,,,,,,,,,,,,,,,
103,,,,"[363, 212]","[363, 212]",,,,,,,,,,,,,,,,,,,,
104,,,,"[363, 213]","[363, 213]",,,,,,,,,,,,,,,,,,,,
105,,,,"[383, 203]","[383, 203]",,,,,,,,,,,,,,,,,,,,
106,,,,"[383, 202]","[383, 202]",,,,,,,,,,,,,,,,,,,,
107,,,,"[404, 193]","[404, 193]",,,,,,,,,,,,,,,,,,,,
108,,,,"[404, 193]","[404, 193]",,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,"[206, 243]",,,,,,,,,,,,,,,,,,,
118,,,,,,"[206, 243]",,,,,,,,,,,,,,,,,,,
119,,,,,,"[230, 230]",,,,,,,,,,,,,,,,,,,
120,,,,,,"[230, 230]",,,,,,,,,,,,,,,,,,,
121,,,,,,"[257, 217]",,,,,,,,,,,,,,,,,,,
122,,,,,,"[257, 217]",,,,,,,,,,,,,,,,,,,
123,,,,,,"[279, 207]",,,,,,,,,,,,,,,,,,,
124,,,,,,"[279, 207]",,,,,,,,,,,,,,,,,,,
125,,,,,,"[305, 198]",,,,,,,,,,,,,,,,,,,
126,,,,,,"[305, 198]",,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,"[183, 383]",,,,,,,,,,,,,,,,,,
132,,,,,,,"[183, 383]",,,,,,,,,,,,,,,,,,
133,,,,,,,"[201, 362]",,,,,,,,,,,,,,,,,,
134,,,,,,,"[202, 362]",,,,,,,,,,,,,,,,,,
135,,,,,,,"[218, 344]",,,,,,,,,,,,,,,,,,
136,,,,,,,"[218, 344]",,,,,,,,,,,,,,,,,,
137,,,,,,,"[234, 329]",,,,,,,,,,,,,,,,,,
138,,,,,,,"[234, 329]",,,,,,,,,,,,,,,,,,
139,,,,,,,"[249, 325]",,,,,,,,,,,,,,,,,,
140,,,,,,,"[252, 315]",,,,,,,,,,,,,,,,,,
141,,,,,,,"[284, 303]",,,,,,,,,,,,,,,,,,
142,,,,,,,"[285, 302]",,,,,,,,,,,,,,,,,,
143,,,,,,,"[313, 286]",,,,,,,,,,,,,,,,,,
144,,,,,,,"[314, 284]",,,,,,,,,,,,,,,,,,
145,,,,,,,"[340, 267]",,,,,,,,,,,,,,,,,,
146,,,,,,,"[341, 267]",,,,,,,,,,,,,,,,,,
147,,,,,,,"[369, 252]",,,,,,,,,,,,,,,,,,
148,,,,,,,"[369, 252]",,,,,,,,,,,,,,,,,,
